0,1,2,3,4,5,6,7,8
Particulars/ Year,2019/20,,,,2020/21,,,
,State Owned,,Non State Owned,,State Owned,,Non State Owned,
,Amount in Rs Million,% on Total Operating Income,Amount in Rs Million,% on Total Operating Income,Amount in Rs Million,% on Total Operating Income,Amount in Rs Million,% on Total Operating Income
Interest Income,"43,900",167.42%,"284,850",204.30%,"31,353",156.55%,"284,153",184.00%
Net Interest Income,"21,170",80.73%,"107,580",77.16%,"20,541",102.57%,"111,458",72.17%
Operating Profit,"14,060",53.62%,"61,790",44.32%,"9,711",48.49%,"75,833",49.11%
Net Income,"10,480",39.95%,"43,840",31.44%,"7,286",36.38%,"52,645",34.09%
