0,1,2,3,4
6,Against security of Bill,1.16,1.28,0.47
7,Against Guarantee,3.02,3.51,3.41
8,Credit Card,0.06,0.06,0.08
9,Others,3.38,3.48,4.56
,Total,100.00,100.00,100.00
