0,1,2,3,4,5,6
S.N.,Particulars,Mid-July,,,,
,,2020,2021,2022,2023,2024
1,Number of branchless banking center,1574,"1,706","1,526","1,298","1,112"
2,Number of mobile banking customer,"10,115,313","12,638,366","16,091,464","18,438,455","21,141,088"
3,Number of Internet banking customer,"1,001,866","1,115,532","1,279,475","1,347,970","1,325,072"
4,Total number of ATM,"3,759","3,983","4,235","4,465","4,801"
5,Number of debit card holder,"7,062,472","8,459,435","10,274,413","11,358,426","11,757,746"
6,Number of credit card holder,"160,297","192,370","238,794","283,126","287,365"
7,Number of prepaid card holder,"63,775","65,786","105,121","135,626","178,216"
