0,1,2,3,4,5,6
Bank and Financial Institutions,Percent Share as on mid-July,,,,,
,2018,2019,2020,2021,2022,2023
Commercial Banks,85.62,83.72,86.39,86.33,85.46,85.65
Development Banks,10.46,11.58,8.78,9.15,9.58,9.63
Finance Companies,2.20,2.21,2.20,1.83,1.97,1.91
Micro Finance Institutions,1.72,2.49,2.63,2.68,2.99,2.81
Total,100.00,100.00,100.00,100.00,100.00,100.00
