0,1,2,3,4,5,6,7,8
Particulars/ Year,FY 2023/24,,,,FY 2024/25,,,
,State-owned Commercial Banks,,Non State-Owned Comercial Banks,,State-owned Commercial Banks,,Non State-Owned Comercial Banks,
,Amount,Percent on Total Operating Income,Amount,Percent on Total Operating Income,Amount,Percent on Total Operating Income,Amount,Percent on Total Operating Income
Interest Income,82.39,241.67,507.52,251.14,73.16,198.89,424.26,205.91
Net Interest Income,29.22,85.70,163.51,80.91,30.12,81.88,160.21,77.75
Operating Profit,8.91,26.14,70.95,35.11,13.60,36.98,74.19,36.01
Net Income,5.48,16.07,44.39,21.97,9.65,26.23,43.17,20.95
Total Operating Income,34.09,,202.09,,36.78,,206.04,
