0,1
Name of Agency,Web address
Australian Prudential Regulatory Authority,www.apra.gov.au
Asian Development Bank,www.adb.org
Association for financial professionals,www.afponline.org
American Bankers Association,www.aba.com
Association of German Banks,www.german-banks.com
Asian Clearing Union,www.asianclearingunion.org
Bank Administration Institute (BAI),www.bai.org
Banking Federation of the European Union,www.fbe.be
Bank for International Settlement,www.bis.org
Bank Negara Malaysia,www.bnm.gov.my
"Conference of State Bank Supervisors, USA",www.csbsdal.org
China Banking Regulatory Commission,www.cbrc.gov.cn
European Committee for Banking Standards (ECBS),www.ecbs.org
European Bank for Reconstruction and Development,www.ebrd.org
European Banking Authority,www.eba.europa.eu
Financial Services Authority UK,www.fsa.gov.uk
Federal Reserve Board USA,www.federalreserve.gov
Federal Reserve Bank Boston,www.bos.frb.org
Federal Reserve Bank St. Louis,www.stls.frb.org
Federal Reserve Bank Kansas City,www.kc.frb.org
Federal Reserve Bank Philadelphia,www.phil.frb.org
Federal Reserve Bank Minneapolis,www.mpls.frb.fed.us
