0,1,2,3,4,5
Banks,Non-Performing Loan (Amount-Rs. in Billion),,,Percentage Change,
,FY 2019/20,FY 2020/21,FY 2021/22,FY 2020/21,FY 2021/22
State-owned Commercial Banks,13.54,11.85,11.03,-12.43,-6.92
Non State-owned Commercial Banks,39.04,40.33,39.11,3.31,-3.01
Commercial Banks (in Total),52.57,52.18,50.15,-0.75,-3.90
