0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Types of Financial Institutions,Mid-July,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Commercial Banks,18,20,25,26,27,31,32,31,30,30,28,28,28,28
Development Banks,28,38,58,63,79,87,88,86,84,76,67,40,33,29
Finance Companies,70,74,78,77,79,79,69,59,53,48,42,28,25,23
Micro-finance Financial Institutions,11,12,12,15,18,21,24,31,37,38,42,53,65,90
Total,127,144,173,181,203,218,213,207,204,192,179,149,151,171
