0,1,2,3,4,5,6,7,8
Income,FY 2020/21,,,,FY 2021/22,,,
,State-owned Commercial Banks,,Non State-owned Commercial Banks,,State-owned Commercial Banks,,Non State-owned Commercial Banks,
,Amount (Rs. in Billion,Percent on Total Operating Income,Amount (Rs. in Billion,Percent on Total Operating Income,Amount (Rs. in Billion,Percent on Total Operating Income,Amount (Rs. in Billion,Percent on Total Operating Income
Interest Income,43.24,155.59,284.15,184,56.71,196.78,382.04,230.28
Net Interest Income,21.50,77.35,111.46,72.17,24.37,84.55,128.53,77.47
Operating Profit,13.88,49.95,75.83,49.11,13.06,45.31,81.16,48.92
Net Income,9.91,35.67,52.65,34.09,9.44,32.76,56.80,34.24
