0,1,2,3,4,5
Banks,Amount (Rs. in billion),,,Percentage Change,
,FY 2021/22,FY 2022/23,FY 2023/24,FY 2022/23,FY 2023/24
State-owned Commercial Banks,581.80,607.44,666.05,4.41%,9.65%
Non State-owned Commercial Banks,"3,465.65","3,658.13","3,825.81",5.55%,4.58%
Commercial Banks (in Total),"4,047.44","4,265.57","4,491.86",5.39%,5.30%
