0,1,2,3,4,5
SN,Particulars,Current Rate or Percentage,Days/Month,Remarks I,Remarks II
1.,"Minimum Capital fund ""IDB"" and ""A"" class",Core Capital = 6% & Capital Fund including capital conservation buffer= 11% of Total Risk Weighted Exposure,,Minimum capital fund to be maintained based on the risk-weight assets (percent),"As per Capital Adequacy Framework, 2018 for IDB, Capital Adequacy Framework 2015 for for Class ‘A’ Banks and Capital Adequacy Framework, 2007 (Updated July 2008) for ""B"" and ""C"" class."
,"""B"" class & ""C"" class",Core Capital = 6% & Capital Fund = 10% of Total Risk Weighted Exposure,,,
2.,"Refinance Facility (i) Micro, Cottage &Small Enterprises Refinance (limit up to 1.5million)",2%,Max. 1 year,Cannot charge more than 5%,i. Max. Limit per client is 50 million for wholesale refinance facilities provided via BFIs. ii. Max. Limit
