0,1,2,3,4,5
BFIs,2016,2017,2018,2019,2020
Commercial Banks,28,28,28,28,27
Development Banks,67,40,33,29,20
Finance Companies,42,28,25,23,22
Microfinance Financial Institutions,42,53,65,90,85
Infrastructure Development Bank,0,0,0,1,1
