0,1,2,3,4,5
Amount in Rs Millions,,,,Percentage change,
Banks/ Year,2017/18,2018/19,2019/20,2018/19,2019/20
Private,"2,199.86","4,424","5,549.78",101.10%,25.45%
Public,384.59,471,433.41,22.47%,-7.98%
Industry,"2,584.45","4,895","5,983.19",89.40%,22.23%
