0,1,2,3,4,5
Bank and Financial Institutions,Percent Share as on mid July,,,,
,2021,2022,2023,2024,2025
Commercial Banks,82.89,82.13,82.60,83.11,83.87
Development Banks,7.98,8.36,8.56,8.23,7.74
Finance Companies,1.94,2.07,1.98,1.97,1.81
Microfinance Financial Institutions,6.81,7.09,6.49,6.35,6.14
Infrastructure Development Bank,0.37,0.35,0.37,0.34,0.44
Total,100,100,100,100,100
