0,1,2,3,4,5
,Amount (Rs. in billion),,,Percentage Change,
Particulars     FY 2022/23,,FY 2023/24,FY 2024/25,FY 2023/24,FY 2024/25
Due to Bank and Financial Institutions,102.27,102.39,107.28,0.11,4.78
Deposits from customers,"5,004.42","5,665.67","6,443.57",13.21,13.73
Share capital,369.86,379.02,385.33,2.48,1.66
Retained Earnings,16.24,-9.37,0.39,-157.67,-104.17
Reserves,275.36,321.52,350.06,16.76,8.88
Others,226.40,438.58,469.60,93.72,7.07
Total Liabilities and Equity,"5,994.55","6,897.80","7,756.24",15.07,12.45
