0,1,2,3
Impairment Charge/ (Reversal) for Loans and Other Losses,"1,239.84","4,106.19","1,636.72"
Net operating income,"6,423.39","4,504.04","8,197.39"
Personnel expenses,"1,670.36","1,600.42","2,047.43"
Other operating expenses,471.91,527.88,528.42
Depreciation & Amortization,329.68,322.11,308.62
Operating Profit,"3,951.43","2,053.63","5,312.92"
Non operating income,-,-,0.83
Non operating expense,-,72.08,266.71
Profit before income tax,"3,951.43","1,981.55","5,047.04"
Income Tax Expense,-,-,-
Current Tax,"1,260.32","1,125.66","1,645.37"
Deferred Tax,(96.22),(172.01),(106.23)
Profit for the Year,"2,787.34","1,027.90","3,507.89"
