0,1,2,3,4
S. N.,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter
1,Kumari Bank Ltd.,Nepal Infrastructure Bank Ltd.,Prabhu Bank Ltd.,Himalayan Bank Ltd.
2,Nepal Credit and Commerce Bank Ltd.,Standard Chartered Bank Nepal Ltd.,Citizens Bank International Ltd.,Nepal Investment Mega Bank Ltd.
3,,Nabil Bank Ltd.,Global IME Bank Ltd.,Prime Commercial Bank Ltd.
4,,NIC Asia Bank Ltd.,,
5,,,,
