0,1,2,3,4,5,6,7,8
Bank and Financial Institutions,% Share as on mid-July,,,,,,,
,2012,2013,2014,2015,2016,2017,2018,2019
Commercial,77.3,78.2,78.0,78.73,79.74,83.41,82.76,80.88
Development Banks,12.4,13,13.6,13.34,12.81,9.71,9.99,10.67
Finance Banks,8.2,6.6,5.8,4.79,3.78,2.63,2.56,2.47
Micro Finance Companies,2.2,2.2,2.6,3.14,3.68,4.26,4.69,5.99
Total Institutions,100,100,100,100,100,100,100,100
