0,1,2,3,4,5
Banks,Capital Fund (Amount-Rs. in Billion),,,Percentage Change,
,FY 2019/20,FY 2020/21,FY 2021/22,FY 2020/21,FY 2021/22
State-owned Commercial Banks,76.72,105.42,104.05,37.41,-1.30
Non State-owned Commercial Banks,429.75,527.19,588.85,22.67,11.70
Commercial Banks (in Total),506.47,632.61,692.90,24.91,9.53
