0,1,2,3,4,5
Particulars,Amount in Rs Billion,,,Percentage Change,
,2018/19,2019/20,2020/21,2019/20,2020/21
State Owned Banks,354.83,389.11,485.98,9.66%,24.89%
Non State Owned Banks,"2,127.33","2,514.48","3,201.68",18.20%,27.33%
Total Banks,"2,482.16","2,903.59","3,687.65",16.98%,27.00%
