0,1,2,3,4,5
Banks,Non-performing Loan (Amount-Rs. in billion),,,Percentage Change,
,FY 2020/21,FY 2021/22,FY 2022/23,FY 2020/21,FY 2022/23
State-owned Commercial Banks,11.85,11.03,17.15,-6.92,55.45
Non State-owned Commercial Banks,40.33,39.11,111.48,-3.01,185.01
Commercial Banks (in Total),52.18,50.15,128.64,-3.90,156.53
