0,1,2,3,4,5,6,7,8,9,10,11,12,13
"7,0004035 6,000 5,000 4,000 3,000Amount (Rs. in Billion) 2,000 1,000 -",,,,,,,,,,,,,
,,,,,,,,,,,30,,0
,,,,,,,,,,,25,,
,,,,,,,,,,,20Liquid Assets to Total Deposit Ratio (%),,
,,,,,,,,,,,15,,
,,,,,,,,,,,10,,
,,,,,,,,,,,5,,
,,FY 2022/23,,,FY 2023/24,,,FY 2024/25,,,,,
,Liquid Assets,"1,480.26",,,1854.28,,,2293.84,,,,,
,Total Deposits,"5,086.30",,,5756.8,,,6541.65,,,,,
,Liquid Assets/ Total Deposit (inpercent),29.10,,,32.21,,,35.07,,,,,
,,,,,,,,,,,,,
