0,1,2,3,4,5
Bank and Financial Institutions,Percent Share as on mid-July,,,,
,2020,2021,2022,2023,2024
Commercial Banks,86.39,86.33,85.46,85.64,86.27
Development Banks,8.78,9.15,9.58,9.62,9.14
Finance Companies,2.20,1.83,1.97,1.91,1.93
Micro Finance Institutions,2.63,2.68,2.99,2.81,2.65
Infrastructure Development Bank,0.01,0.01,0.01,0.02,0.01
Total,100,100,100,100,100
