0,1,2,3,4,5,6,7,8
Particulars/ Year,FY 2021/22,,,,FY 2022/23,,,
,State-owned Commercial Banks,,Non State-Owned Commercial Banks,,State-owned Commercial Banks,,Non State-Owned Commercial Banks,
,Amount,Percent on Total Operating Income,Amount,Percent on Total Operating Income,Amount,Percent on Total Operating Income,Amount,Percent on Total Operating Income
Interest Income,56.71,196.76,382.04,230.28,79.38,236.98,472.11,248.87
Net Interest Income,24.37,84.54,128.53,77.47,29.42,87.83,156.64,82.57
Operating Profit,13.06,45.31,81.16,48.92,12.34,36.83,73.80,38.90
Net Income,9.44,32.76,56.80,34.24,8.36,24.95,48.22,25.42
Total Operating Income,28.82,,165.90,,33.50,,189.70,
