0,1,2,3,4,5,6,7,8
Particulars/ Year,2018/19,,,,2019/20,,,
,Public,,Private,,Public,,Private,
,Rs. in  Billion,% on Total Operating Income,Rs. in  Billion,% on Total Operating Income,Rs. in  Billion,% on Total Operating Income,Rs. in  Billion,% on Total Operating Income
Interest Income,41.06,144.11%,263.41,195.95%,43.90,167.42%,284.85,204.30%
Net Interest Income,24.03,84.35%,103.44,76.95%,21.17,80.73%,107.58,77.16%
Operating Profit,16.79,58.91%,74.19,55.19%,14.06,53.62%,61.79,44.32%
Net Profit,12.12,42.53%,51.68,38.45%,10.48,39.95%,43.84,31.44%
