0,1,2,3,4,5
Particulars / Years,Rs. in Billion,,,Percentage Change,
,2017/18,2018/19,2019/20,2018/19,2019/20
Private,310.44,368.89,429.75,18.83%,16.50%
Public,61.58,71.04,76.72,15.37%,7.99%
Industry,372.02,439.93,506.47,18.25%,15.12%
