0,1,2
S.N.,Name of Bank,No. of Inspections
1,Nepal Bangladesh Bank Ltd.,3
2,Kumari Bank Ltd.,2
3,Siddhartha Bank Ltd.,1
4,RastiryaBanijya Bank Ltd.,1
5,Laxmi Bank Ltd.,1
