0,1,2
SN,Name of Bank,No. of Inspections
1,Bank of Kathmandu Ltd.,1
2,Sunrise Bank Ltd.,1
3,Prabhu Bank Ltd.,1
4,Nepal Bangladesh Bank Ltd.,1
5,Machhapuchchhre Bank Ltd.,1
Total,,5
