0,1,2,3,4,5
SN,Particulars,Current Rate or Percentage,Days/Month,Remarks I,Remarks II
1.,"Minimum Capital fund ""A"" class",Core Capital = 6% & Capital Fund = 11% of Total Risk Weighted Exposure,,Minimum capital fund to be maintained based on the risk-weight assets (percent),"As per Capital Adequacy Framework, 2015 for Class ‘A’ Banks"
,"""B"" class & ""C"" class",Core Capital = 6% & Capital Fund = 10% of Total Risk Weighted Exposure,,,
2.,"Refinance Facility (i) General Refinance Hydro, Agro, productive and, infrastructure industry or business run by youths returned from abroad. Also for opening standard hotels in selected tourism destinations",3%,Max. 6 months,Cannot charge more than 7%,i. provided against good loan. ii. not exceed the 80% of core capital of BFIs iii. max. of 6 months.
,"(ii) Special Refinance Sick industries, Cottage & small industries, foreign emp. Small business run by Dalits, janajati, utpidit, women, deprived community. Export from Ostrich farming, beekeeping and cardamon farming",1%,,Cannot charge more than 3%,
,(iii) Export credit refinance,1%,,Cannot charge more than 3%,
,(iv) Small & Medium Ent. Refinance (limit up to 10 lakhs),3%,,Cannot charge more than 7%,
3.,Bank Rate,6.5%,,,
4.,"SLF Rate (For A, B & C)",Bank rate (6.5%),Max. 5 days,"For Merger, 30 days",upto 90% Against Govt. T-Bills and Govt. Bonds
5.,Lender of Last Resort,Bank rate (6.5%),Max. 6 months,,Against deposit at NRB for CRR Purpose / Govt. Securities and
