0,1,2,3,4,5
Bank and Financial Institutions,2020,2021,2022,2023,2024
Commercial Banks,27,27,26,20,20
Development Banks,20,18,17,17,17
Finance Companies,22,17,17,17,17
Microfinance Financial Institutions,85,70,65,57,52
Infrastructure Development Bank,1,1,1,1,1
Total,155,133,126,112,107
