0,1,2,3
Other trading assets,-,-,-
Loans and advances to BFIs,"6,097.77","6,672.76","6,515.73"
Loans and advances to customers,"135,383.78","147,053.90","153,067.87"
Investment securities,"23,426.85","31,402.84","29,067.66"
Current tax assets,288.06,640.05,458.58
Investment in subsidiaries,-,-,-
Investment in associates,46.02,46.02,46.02
Investment property,365.78,529.81,"1,413.05"
Property and equipment,"1,048.08","1,973.69","2,055.35"
Goodwill and Intangible assets,22.77,379.54,371.84
Deferred tax assets,34.94,123.17,270.51
Other assets,693.32,913.96,"1,206.08"
Total Assets,"190,537.22","210,361.90","220,827.81"
,,,
Liabilities,"166,595.71","183,356.19","193,654.38"
Due to Bank and Financial Institutions,"6,042.37","6,096.83","4,511.66"
Due to Nepal Rastra Bank,"2,360.81","4,556.14",-
Derivative Financial Instrument,-,-,-
Deposits from customers,"154,139.51","160,203.35","174,058.04"
Borrowings,-,-,"2,630.00"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"1,612.04","3,354.35","3,302.48"
Debt securities issued,"2,440.97","9,145.52","9,152.21"
Subordinated Liabilities,-,-,-
,,,
Equity,"23,941.51","27,005.71","27,173.42"
Share Capital,"16,083.04","18,656.32","19,402.58"
Share premium,-,-,-
Retained earnings,"2,719.16","1,738.85",(666.95)
Reserves,"5,139.31","6,610.53","8,437.80"
,,,
Total Liabilities and Equity,"190,537.22","210,361.90","220,827.81"
,,,
Statement of Profit or Loss,2021,2022,2023
,,,
Interest Income,"14,009.66","18,301.36","23,159.25"
Interest Expense,"8,060.77","12,114.39","16,018.50"
Net Interest Income,"5,948.89","6,186.97","7,140.75"
Fees and commission income,"1,408.06","1,230.74","1,354.54"
Fees and commission expense,105.27,142.55,178.31
Net fee and commission income,"1,302.79","1,088.19","1,176.23"
"Net interest, fee and commission income","7,251.68","7,275.16","8,316.98"
Net trading income,321.27,231.16,150.35
Other operating income,269.72,156.91,142.90
Total operating income,"7,842.66","7,663.23","8,610.23"
Impairment charge/(reversal) for loans and other losses,769.30,"1,239.84","4,106.19"
Net operating income,"7,073.37","6,423.39","4,504.04"
Personnel expenses,"1,591.34","1,670.36","1,600.42"
