0,1,2,3,4
S.N.,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter
1,Laxmi Bank Ltd.,Rastriya Banijya Bank Ltd.,Everest Bank Ltd.,Agricultural Development Bank Ltd.
2,Nepal SBI Bank Ltd.,Sanima Bank Ltd.,NMB Bank Ltd.,Nepal Bank Ltd.
3,,Sunrise Bank Ltd.,Machhapuchchhre Bank Ltd.,Siddhartha Bank Ltd.
