0,1,2,3,4
FY 2019/20,,,,
SN,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter
,1  Mega Bank Ltd.,Kumari Bank Ltd.,Civil Bank Ltd.,Covid-19 Pandemic
2,NMB Bank Ltd.,Laxmi Bank Ltd.,Nabil Bank Ltd.,
3,Bank of Kathmandu Ltd.,Nepal Infrastructure Bank Ltd.,,
4,,Standard Chartered Bank Ltd.,,
5,,,,
6,,,,
