0,1,2,3,4,5
Amount in Rs Billions,,,,% change,
Banks/ Year,2016/17,2017/18,2018/19,2017/18,2018/19
Non-state Owned,"2,415.24","2,199.86","4,424",-8.92%,101.10%
State Owned,509.23,384.59,471,-24.48%,22.47%
Industry,"2,924.47","2,584.45","4,895",-11.63%,89.40%
