0,1,2,3,4
Particulars/ Year,Amount in Rs Billion,,,
,2017/18,,2018/19,
,State Owned,Non State Owned,State Owned,Non State Owned
Interest Income,34.93,199.42,41.06,263.41
Net Interest Income,22.14,76.21,24.03,103.44
Operating Profit,14.32,57.56,16.79,74.19
Net Income,10.32,40.63,12.12,51.68
