0,1,2,3,4,5,6,7,8,9,10
"7,000.0023.5023.00 6,000.00 5,000.00 4,000.00 3,000.00 2,000.00Amount (Rs. in Billion) 1,000.00 -",,,,,,,,,,
,,,,,,22.50,,,,
,,,,,,22.00,,,,
,,,,,,21.50,,,,
,,,,,,21.00(%)Liquid Assets to Total Deposit Ratio,,,,
,,,,,,20.50,,,,19.50
,,,,,,20.00,,,,
,,FY2020/21,,,FY2021/22,,FY2022/23,,,
,Liquid Assets,"1,167.00",,,"1,239.25",,"1,480.26",,,
,Total Assets,"5,223.00",,,"5,998.86",,"6,468.28",,,
,Liquid Assets/Total Assets (inpercent),22.34,,,20.66,,22.88,,,
,,,,,,,,,,
