0,1,2,3,4,5
Amount in Rs Millions,,,,Percentage change,
Banks/ Year,2018/19,2019/20,2020/21,2019/20,2020/21
Non-state Owned,"4,424.00","5,549.78","6,339.60",25.45%,14.23%
State Owned,471.00,433.41,433.89,-7.98%,0.11%
Industry,"4,895.00","5,983.19","6,773.49",22.23%,13.21%
