0,1,2,3,4
FY 2020/21,,,,
SN,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter
1,Covid-19 Pandemic,,Citizens Bank International Bank Ltd.  Bank of Kathmandu Ltd.,
2,,,Century Bank Ltd.,Laxmi Bank Ltd.
3,,,Civil  Bank Ltd.,Nabil Bank Ltd.
4,,,Global IME Bank Ltd.,
