0,1,2
S.N.,Name of Bank,No. of Inspections
1,Nabil Bank Ltd.,1
2,Nepal Investment Mega Bank Ltd.,1
3,Laxmi Sunrise Bank Ltd.,1
4,Prabhu Bank Ltd.,3
