0,1,2,3,4
S.N.,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter
1,Rastriya  Banijya  Bank Ltd.,Machhapuchchhre  Bank Ltd.,Citizens Bank International Ltd.,Prabhu Bank Ltd.
2,Sanima Bank Ltd.,Siddhartha Bank Ltd.,Agricultural Development Bank Ltd.,Global IME Bank Ltd.
3,Nepal SBI Bank Ltd.,Everest Bank Ltd.,NIC Asia Bank Ltd.,Nepal Bank Limited
4,Kumari Bank Ltd.,NMB Bank Ltd.,Nabil Bank Ltd.,Nepal  Investment  Mega Bank Ltd
5,Laxmi Sunrise Bank Ltd,,,Prime Commercial Bank Ltd
6,,,,Himalayan Bank Ltd.
