0,1,2,3,4
FY 2020/21,,,,
SN,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter
1,Covid-19 Pandemic,Nepal Bangladesh Bank Ltd.,Siddhartha Bank Ltd.,NCC  Bank Ltd.
2,,Prime Commercial Bank Ltd.,,
3,,Mega Bank Ltd.,,
