0,1,2,3,4,5
S. No.,Particulars,Current Rate or Percentage,Days/Month,Remarks I,Remarks II
1.,"Minimum Capital fund ""IDB"" and ""A"" class",  Core  Capital  = 6%    Capital Fund including capital conservation buffer=  11%  of Total Risk Weighted Exposure,,Minimum capital fund to be maintained based on the risk-weight assets (percent),"There are different Capital Adequacy Frameworks for A class banks,  IDB,  B,  and  C class institutions as follows:   For IDB, Capital Adequacy Framework, 2018"
