0,1,2,3,4
S.N.,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter
1,,Nepal Infrastructure Bank Ltd.,Global IME Bank Ltd.,Citizens Bank International Ltd.
2,,Standard Chartered Bank Nepal Ltd.,,Civil Bank Ltd.
3,,,,Century Commercial Bank Ltd.
