0,1,2,3,4,5,6,7,8
Particulars/ Year,FY 2022/23,,,,FY 2023/24,,,
,State-owned Commercial Banks,,Non State-owned Commercial Banks,,State-owned Commercial Banks,,Non State-owned Commercial Banks,
,Amount,Percent on Total Operating Income,Amount,Percent on Total Operating Income,Amount,Percent on Total Operating Income,Amount,Percent on Total Operating Income
Interest Income,79.38,236.98,472.11,248.87,82.47,239.81,507.52,251.28
Net Interest Income,29.42,87.83,156.64,82.57,29.99,87.20,163.51,80.96
Operating Profit,12.34,36.83,73.8,38.9,12.56,36.53,70.95,35.13
Net Income,8.36,24.95,48.22,25.42,8.89,25.84,44.39,21.98
Total Operating Income,33.50,-,189.7,-,34.39,,201.97,
