0,1,2,3
Other trading assets,10.26,42.21,103.73
Loans and Advances to BFIs,"3,519.47","3,170.51","2,423.64"
Loans and advances to customers,"75,881.61","93,808.16","103,580.73"
Investment securities,"14,170.25","20,123.06","18,845.06"
Current tax assets,140.00,194.37,63.34
Investment in subsidiaries,-,140.00,140.00
Investment in associates,147.68,-,-
Investment property,24.66,24.66,42.40
Property and equipment,832.88,828.87,"1,382.31"
Goodwill and Intangible assets,16.70,34.93,30.28
Deferred tax assets,-,-,-
Other assets,646.64,891.76,"1,256.31"
,,,
Total Assets,"109,555.90","131,981.71","140,905.88"
,,,-
Liabilities,"95,270.91","115,462.43","122,563.48"
Due to bank and financial institutions,"1,181.13",910.96,"1,518.49"
Due to Nepal Rastra Bank,162.26,"6,059.02","4,285.53"
Derivative financial instruments,-,,-                   24.00
Deposits from customers,"92,103.30","103,413.43","109,443.44"
Borrowings,-,"1,198.24","3,198.72"
Current Tax Liabilities,-,-,-
Provisions,18.09,13.77,15.17
Deferred tax liabilities,192.84,497.73,457.79
Other liabilities,988.48,"1,080.12","2,020.35"
Debt securities issued,624.82,"2,289.16","1,599.99"
Subordinated Liabilities,-,-,-
,,,
Equity,"14,284.99","16,519.28","18,342.39"
Share capital,"8,546.89","9,658.18","10,623.99"
Share premium,-,-,-
Retained earnings,977.70,"1,357.82","1,628.42"
Reserves,"4,760.40","5,503.29","6,089.98"
,,,
Total Liabilities and Equity,"109,555.90","131,981.71","140,905.88"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Interest Income,"9,980.92","8,552.92","11,303.38"
Interest Expense,"6,405.72","5,291.36","7,501.56"
Net Interest Income,"3,575.21","3,261.56","3,801.83"
Fee and commission income,543.67,637.34,639.00
Fee and commission expense,54.35,76.42,104.14
Net Fee and commission income,489.33,560.92,534.86
"Net Interest, Fee and Commission Income","4,064.53","3,822.48","4,336.69"
