0,1,2
14,Nepal Investmet Bank Ltd,2
15,NIC Asia Bank Ltd,3
16,NMB Bank Limited,1
17,Prime Commercial Bank Ltd,2
18,Rastriya Banijya Bank Limited,1
Total,,27
