0,1,2
S.N.,Name of Bank,No. of Inspections
1,Rastriya Banijya Bank Limited,2
2,Nepal Bank Limited,5
3,Himlayan Bank Limited,3
4,Nepal Investment Bank Limited,1
5,Nepal SBI Bank Limited,1
6,Citizens Bank Limited,1
7,NIC Asia Bank Limited,2
8,Prabhu Bank Limited,3
9,Agricultural Development Bank Limited,1
10,Nabil Bank Limited,1
11,Laxmi Sunrise Bank Limited,1
