0,1,2,3,4,5
6,Net Liquid asset to Total Deposit Ratio,20%,,,
7.,Repo & Reverse Repos,As determined by Open Market Operation Committee.,,,
8.,"CRR ""IDB"" Class ""A"" class ""B"" class ""C"" class",1% 3% 3% 3%,,,
9.,"SLR ""IDB"" Class ""A"" class ""B"" class (taking call and current deposit) ""C"" class (taking call and current deposit)",12% 10% 8%  7%,,,
10.,"Deprived Sector ""A"" class, ""B"" class, ""C"" class",5%,,,
11.,Specified Sector lending,"  11% in Agriculture;  6% in  Energy  ;11% in  MSME for “A” Class   16% in Agriculture, MSME,  Energy and  Tourism  for “B” Class   11% in Agriculture, MSME,  Energy and  Tourism  for “C” Class",,,
