0,1,2,3,4,5
Particulars / Years,Amount in Rs Billion,,,Percentage Change,
,2016/17,2017/18,2018/19,2017/18,2018/19
State Owned Banks,275.59,300.28,354.83,8.96%,18.16%
Non-state Owned Banks,"1,440.31","1,780.56","2,127.33",23.62%,19.48%
Total Banks,"1,715.90","2,080.84","2,482.16",21.27%,19.29%
