0,1,2,3,4,5,6
Banks/ Year,Rs. in Billion,,,,Percentage change of Amount,
,2018/19,,2019/20,,2018/19,2019/20
,Rs.,NPL %,Rs.,NPL %,,
Private Banks,24.2,6.82,39.04,10.03,32.62%,61.31%
Public Banks,12.86,0.60,13.54,0.54,10.83%,5.25%
Industry,37.06,1.49,52.57,1.81,24.16%,41.85%
