0,1,2,3,4,5
Banks,Loan and Advances (Amount-Rs. in Billion),,,Percentage Change,
,FY 2019/20,FY 2020/21,FY 2021/22,FY 2020/21,FY 2021/22
State-owned Commercial Banks,385.07,485.98,581.8,26.21,19.72
Non State-owned Commercial Banks,"2,501.16","3,201.68","3,571.65",28.01,11.56
Commercial Banks (in Total),"2,886.23","3,687.65","4,153.45",27.77,12.63
