0,1,2,3,4,5,6,7,8,9
Liquid Assets to Total Deposit450029.00%4000350030002500200015001000500Amoount in Billion/Percentage0Liquid Assets/ Total Deposit (%)Liquid AssetsTotal DepositLiquid Assets/ Total Deposit (%),,,,,,,,,
,,,,,,,,28.00%,
,,,,,,,,27.00%,
,,,,,,,,26.00%,
,,,,,,,,,
,,,,,,,,25.00%,
,,,,,,,,24.00%,
,,,,,,,,23.00%,22.00%
,,,,,,,,,
,,2018/19,2019/20,,,2020/21,,,
,Liquid Assets,699,959,,,1167,,,
,Total Deposit,"2,879","3,489",,,"4,086",,,
,,24.28%,27.49%,,,28.57%,,,
,,,,,,,,,
