0,1,2,3,4,5,6,7,8,9,10,11
800.00 700.00 600.00 500.00 400.00 300.00 200.00 100.00 Capital Fund (Rs. in Billion)-,FY 2019/20,,,FY 2020/21,,,,,,,
,,,,,,,,,,,
,,,,,,,,FY 2021/22,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
State-owned Commercial Banks,76.72,,,105.42,,,,104.05,,,
Non-state-owned Commercial Banks,429.75,,,527.19,,,,588.85,,,
Commercial Banks (in Total),506.47,,,632.61,,,,692.90,,,
