0,1,2,3,4
S.N.,Security,Percent of Total Loan (mid-July),,
,,FY 2019/20,FY 2020/21,FY 2021/22
1,Gold and Silver,1.18,1.04,1.15
2,Government Securities,0.02,0.02,0.02
3,Non-Governmental Securities,1.10,1.98,1.15
4,Fixed Deposit Receipts,0.58,0.67,1.18
5,Collateral of Properties,89.50,87.97,87.99
