0,1,2,3,4,5,6,7,8,9,10
6000500040003000200010000Amount in Rs Billion / PercentageLiquid Assets/Total Assets,,2018/19,,2019/20,,,2020/21,,,23.00%
,,,,,,,,,,
,,,,,,,,,,22.50%
,,,,,,,,,,
,,,,,,,,,,22.00%
,,,,,,,,,,21.50%
,,,,,,,,,,
,,,,,,,,,,21.00%20.50%
,,,,,,,,,,
,,,,,,,,,,20.00%
,,,,,,,,,,
,,,,,,,,,,19.50%
,,,,,,,,,,19.00%
,,,,,,,,,,
,,,,,,,,,,18.50%18.00%
,,,,,,,,,,
,Liquid Assets,699,,959,,,1167,,,
,Total Assets,"3,549",,"4,246",,,"5,223",,,
,,19.70%,,22.59%,,,22.35%,,,
