0,1,2,3,4,5
Particulars / Years,Rs. in Billion,,,Percentage Change,
,2017/18,2018/19,2019/20,2018/19,2019/20
Public Banks,300.28,354.83,389.11,18.16%,9.66%
Private  Banks,"1,780.56","2,127.33","2,514.48",19.48%,18.20%
Total Banks,"2,080.84","2,482.16","2,903.59",19.29%,16.98%
