0,1,2,3,4,5,6,7,8
Bank and Financial Institutions,Percent Share as on mid-July,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022
Commercial Banks,78.73,79.74,83.41,82.76,80.88,83.61,83.21,82.42
Development Banks,13.34,12.81,9.71,9.99,10.67,7.83,8.01,8.39
Finance Companies,4.79,3.78,2.63,2.56,2.47,2.40,1.94,2.08
Micro Finance Institutions,3.14,3.68,4.26,4.69,5.99,6.16,6.84,7.11
Total,100,100,100,100,100,100,100,100
