0,1,2,3
Loans and advances to BFIs,"5,123.68","5,846.26","9,754.31"
Loans and advances to customers,"137,897.93","152,562.93","270,937.31"
Investment securities,"22,697.94","22,815.09","42,696.60"
Current tax assets,257.14,454.70,"1,389.77"
Investment in subsidiaries,220.00,420.00,600.00
Investment in associates,155.02,185.02,"1,185.02"
Investment property,128.11,144.49,"1,263.21"
Property and equipment,"1,258.56","1,179.75","2,515.85"
Goodwill and Intangible assets,197.57,161.44,188.67
Deferred tax assets,-,-,63.03
Other assets,939.46,"3,304.07","8,592.31"
Total Assets,"189,782.82","212,108.44","380,524.79"
,,,
Liabilities,"170,890.59","191,106.32","345,209.98"
Due to Bank and Financial Institutions,"14,731.92","6,194.53","9,233.57"
Due to Nepal Rastra Bank,"5,088.97","1,345.59","1,496.50"
Derivative Financial Instrument,3.27,39.33,170.10
Deposits from customers,"145,838.23","176,767.67","316,047.05"
Borrowings,-,-,"2,645.52"
Current Tax Liabilities,-,-,-
Provisions,2.33,2.50,3.00
Deferred tax liabilities,145.63,75.21,-
Other liabilities,"2,084.80","3,685.70","6,626.26"
Debt securities issued,"2,995.44","2,995.80","8,987.97"
Subordinated Liabilities,-,-,-
,,,
Equity,"18,892.22","21,002.12","35,314.80"
Share Capital,"13,878.47","14,711.18","26,225.86"
Share premium,88.80,88.80,-
Retained earnings,"1,247.10","1,872.57","(2,202.91)"
Reserves,"3,677.85","4,329.56","11,291.85"
,,,
Total Liabilities and Equity,"189,782.82","212,108.44","380,524.79"
,,,
Statement of Profit or Loss,2021,2022,2023
,,,
Interest Income,"12,776.39","18,355.16","34,112.24"
Interest Expense,"7,698.87","12,137.99","23,046.06"
Net Interest Income,"5,077.51","6,217.17","11,066.18"
Fees and commission income,822.62,962.86,"1,784.93"
Fees and commission expense,38.90,144.68,271.62
Net fee and commission income,783.72,818.17,"1,513.31"
"Net interest, fee and commission income","5,861.23","7,035.34","12,579.49"
Net trading income,420.83,377.87,363.04
Other operating income,390.33,527.95,115.16
Total operating income,"6,672.39","7,941.16","13,057.68"
Impairment charge/(reversal) for loans and other losses,475.28,812.10,"8,115.80"
Net operating income,"6,197.11","7,129.06","4,941.88"
Personnel expenses,"2,023.92","2,332.99","2,209.82"
Other operating expenses,884.10,683.39,"1,019.95"
Depreciation and Amortization,283.30,535.21,750.46
Operating Profit,"3,005.79","3,577.48",961.65
