0,1,2,3
23. Civil Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Assets,,,
Cash and cash equivalent,"4,725.49","5,027.71","4,149.60"
Due from Nepal Rastra Bank,"3,949.89","4,480.09","5,832.08"
Placement with Bank and Financial Institutions,803.36,630.68,157.41
Derivative financial instruments,"3,361.08","2,564.82",6.40
Other trading assets,-,-,-
Loan and advances to B/FIs,"1,770.05","3,698.02","4,366.92"
Loans and advances to customers,"52,204.26","79,037.70","83,026.92"
Investment securities,"8,199.00","12,712.81","17,075.54"
Current tax assets,99.87,97.03,248.08
Investment in subsidiaries,260.06,260.06,260.06
Investment in associates,-,-,-
Investment property,115.10,57.79,87.05
Property and equipment,611.00,587.00,"1,424.55"
Goodwill and Intangible assets,33.94,30.99,25.81
Deferred tax assets,-,-,-
Other assets,712.42,778.26,921.59
,,,
Total Assets,"76,845.52","109,962.96","117,581.99"
,-,-,-
Liabilities,"66,675.52","99,269.25","105,877.35"
Due to Bank and Financial Institutions,"3,130.18","1,710.05","1,547.77"
Due to Nepal Rastra Bank,728.57,"3,624.71","2,866.50"
