0,1,2,3,4,5,6,7,8
Bank and Financial Institutions,% Share as on mid-July,,,,,,,
,2013,2014,2015,2016,2017,2018,2019,2020
Commercial,78.20,78.00,78.73,79.74,83.41,82.76,80.88,83.61
Development Banks,13.00,13.60,13.34,12.81,9.71,9.99,10.67,7.83
Finance Banks,6.60,5.80,4.79,3.78,2.63,2.56,2.47,2.40
Micro Finance Companies,2.20,2.60,3.14,3.68,4.26,4.69,5.99,6.16
Total Institutions,100,100,100,100,100,100,100,100
