0,1,2,3,4,5
"4,500.00 4,000.00 3,500.00 3,000.00 2,500.00 2,000.00 1,500.00 1,000.00 500.00 -Amount (Rs. in Billion)",,,,,
,,FY 2020/21,FY 2021/22,FY 2022/23,
,State-owned CommercialBanks,485.98,581.80,607.44,
,Non State-owned CommercialBanks,"3,201.68","3,571.65","3,658.13",
,Commercial Banks (in Total),"3,687.65","4,153.45","4,265.57",
,,,,,
