0,1,2
Director (1) Offsite Supervision Unit/Onsite Inspection Unit,Director (1) Enforcement Unit/Onsite Inspection Unit,Director (1) Internal Adimistration Unit/Special Inspection Unit/Policy and Planning Unit/SIS Unit/Onsite Inspection Unit
Compliance Unit Deputy Director (3) Assistant Director (3)   Financial Analysis Unit Deputy Director (1) Assistant Director (3)      Ecaluation and Monitoring Unit                  Deputy Director (2) Assistant Director (3),Enforcement Unit -1 Deputy Director (1) Assistant Director (3)  Enforcement Unit -2 Deputy Director (1) Assistant Director (3)    Enforcement Unit -3 Deputy Director (1) Assistant Director (3)  Enforcement Unit -4 Deputy Director (1) Assistant Director (3),Internal Administration Unit Deputy Director (1) Assistant Director (1) Head Assistant (2) Assistant (1) Support Staff (1)  Special Inspection Unit Deputy Director (2) Assistant Director (4) Policy and Planning Unit Deputy Director (1) Assistant Director (3)  Supervisory Information System Unit Deputy Director (1) Assistant Director (2)
