0,1,2,3,4
FY 2018/19,,,,
SN,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter
1,Global IME Bank Ltd.  Everest Bank Ltd.,,Nepal Bank Ltd.,Machhapuchchhre Bank Ltd
2,Himalayan Bank Ltd.,Sanima Bank Ltd.,Citizen Bank Int. Ltd.,Nepal Bangaladesh Bank Ltd
3,,Laxmi Bank Ltd.,Nabil Bank Ltd.,Siddhartha Bank Ltd.
4,,Standard Chartered Bank Ltd.,,Nepal Investment Bank Ltd.
5,,,,
6,,,,
