0,1,2
S No.,Name of the Programme,Date and Venue
1.,"One-day  Workshop  on  Corporate  Governance, AML  CFT and  Risk  Management for  Board Chairman and Members of Commercial Banks","2075/09/12; Hotel Yak and Yeti, Kathmandu."
2.,One-day Interaction Programme on Risk Management Issues  with  CEOs  of  Commercial Banks.,"2076/03/20; Hotel Crown Imperial, Kathmandu."
3.,One-day Interaction Programme among the Officials of Supervision Departments on Contemporary Supervision related Issues.,"2075/12/15; Yellow Pagoda Hotel, Kathmandu."
